true_distance_m,base_quantized_y_px,pixel_offset_px,observed_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
1.3,457.0,5,462.0,1.2697997266061174,-0.03020027339388265,0.03020027339388265,2.323097953375588
1.35,448.0,-5,443.0,1.3798029655203963,0.029802965520396185,0.029802965520396185,2.2076270755849023
1.35,448.0,-2,446.0,1.3614814747710466,0.011481474771046551,0.011481474771046551,0.8504796126701148
1.35,448.0,-1,447.0,1.3554577584179235,0.005457758417923397,0.005457758417923397,0.4042784013276591
1.35,448.0,0,448.0,1.3494750554754738,-0.0005249445245263384,0.0005249445245263384,0.03888477959454359
1.35,448.0,1,449.0,1.3435329484955398,-0.006467051504460253,0.006467051504460253,0.47904085218224096
1.35,448.0,2,450.0,1.3376310256760438,-0.012368974323956339,0.012368974323956339,0.9162203202930621
1.35,448.0,5,453.0,1.3201623268661429,-0.029837673133857212,0.029837673133857212,2.2101980099153486
1.4000000000000001,440.0,-5,435.0,1.4305745836274326,0.030574583627432483,0.030574583627432483,2.1838988305308913
1.4000000000000001,440.0,-2,438.0,1.4111997241635743,0.011199724163574176,0.011199724163574176,0.7999802973981553
1.4000000000000001,440.0,-1,439.0,1.4048321618678679,0.004832161867867724,0.004832161867867724,0.3451544191334088
1.4000000000000001,440.0,0,440.0,1.3985091679134343,-0.001490832086565863,0.001490832086565863,0.10648800618327592
1.4000000000000001,440.0,1,441.0,1.3922302760127698,-0.007769723987230304,0.007769723987230304,0.5549802848021644
1.4000000000000001,440.0,2,442.0,1.385995026360352,-0.014004973639648144,0.014004973639648144,1.0003552599748673
1.4000000000000001,440.0,5,445.0,1.367546627726179,-0.03245337227382117,0.03245337227382117,2.3180980195586547
1.4500000000000002,432.0,-5,427.0,1.4843246234757443,0.034324623475744165,0.034324623475744165,2.3672154121202866
1.4500000000000002,432.0,-2,430.0,1.4638028694588276,0.013802869458827471,0.013802869458827471,0.9519220316432738
1.4500000000000002,432.0,-1,431.0,1.457061157261589,0.007061157261588846,0.007061157261588846,0.48697636286819623
1.4500000000000002,432.0,0,432.0,1.4503679913405616,0.00036799134056142435,0.00036799134056142435,0.025378713142167195
1.4500000000000002,432.0,1,433.0,1.4437228492128802,-0.006277150787119989,0.006277150787119989,0.4329069508358613
1.4500000000000002,432.0,2,434.0,1.4371252158665577,-0.012874784133442452,0.012874784133442452,0.887916147133962
1.4500000000000002,432.0,5,437.0,1.417612327684669,-0.03238767231533113,0.03238767231533113,2.233632573471112
1.5000000000000002,425.0,-5,420.0,1.5340106059431189,0.034010605943118666,0.034010605943118666,2.267373729541244
1.5000000000000002,425.0,-2,423.0,1.512399672234791,0.01239967223479077,0.01239967223479077,0.826644815652718
1.5000000000000002,425.0,-1,424.0,1.505302849711002,0.0053028497110017,0.0053028497110017,0.35352331406677995
1.5000000000000002,425.0,0,425.0,1.498258451834095,-0.0017415481659053267,0.0017415481659053267,0.11610321106035511
1.5000000000000002,425.0,1,426.0,1.4912658998457882,-0.008734100154212054,0.008734100154212054,0.5822733436141369
1.5000000000000002,425.0,2,427.0,1.4843246234757443,-0.01567537652425588,0.01567537652425588,1.0450251016170584
1.5000000000000002,425.0,5,430.0,1.4638028694588276,-0.03619713054117257,0.03619713054117257,2.4131420360781712
1.5500000000000003,418.0,-5,413.0,1.5863849771239793,0.036384977123979034,0.036384977123979034,2.3474178789663886
1.5500000000000003,418.0,-2,416.0,1.5635957930871363,0.013595793087135988,0.013595793087135988,0.8771479411055475
1.5500000000000003,418.0,-1,417.0,1.5561150456107948,0.006115045610794567,0.006115045610794567,0.3945190716641655
1.5500000000000003,418.0,0,418.0,1.5486910255277297,-0.0013089744722705188,0.0013089744722705188,0.08444996595293669
1.5500000000000003,418.0,1,419.0,1.5413230900194224,-0.008676909980577907,0.008676909980577907,0.5598006439082519
1.5500000000000003,418.0,2,420.0,1.5340106059431189,-0.01598939405688138,0.01598939405688138,1.031573810121379
1.5500000000000003,418.0,5,423.0,1.512399672234791,-0.037600327765209274,0.037600327765209274,2.4258275977554367
1.6000000000000003,411.0,-5,406.0,1.641671997461224,0.04167199746122363,0.04167199746122363,2.6044998413264766
1.6000000000000003,411.0,-2,409.0,1.617605508838784,0.017605508838783646,0.017605508838783646,1.1003443024239776
1.6000000000000003,411.0,-1,410.0,1.6097088178580983,0.009708817858097962,0.009708817858097962,0.6068011161311225
1.6000000000000003,411.0,0,411.0,1.6018736410621959,0.0018736410621955635,0.0018736410621955635,0.11710256638722269
1.6000000000000003,411.0,1,412.0,1.5940992624586994,-0.005900737541300938,0.005900737541300938,0.3687960963313085
1.6000000000000003,411.0,2,413.0,1.5863849771239793,-0.01361502287602101,0.01361502287602101,0.8509389297513129
1.6000000000000003,411.0,5,416.0,1.5635957930871363,-0.03640420691286406,0.03640420691286406,2.275262932054003
1.6500000000000004,405.0,-5,400.0,1.6915677735974293,0.041567773597428914,0.041567773597428914,2.5192590059047824
1.6500000000000004,405.0,-2,403.0,1.6663189989070966,0.016318998907096205,0.016318998907096205,0.9890302367937093
1.6500000000000004,405.0,-1,404.0,1.6580375389814705,0.008037538981470194,0.008037538981470194,0.48712357463455713
1.6500000000000004,405.0,0,405.0,1.6498221342233514,-0.00017786577664891112,0.00017786577664891112,0.010779744039327945
1.6500000000000004,405.0,1,406.0,1.641671997461224,-0.008328002538776413,0.008328002538776413,0.5047274265925098
1.6500000000000004,405.0,2,407.0,1.633586353981591,-0.016413646018409445,0.016413646018409445,0.9947664253581479
1.6500000000000004,405.0,5,410.0,1.6097088178580983,-0.04029118214190208,0.04029118214190208,2.441889826781944
1.7000000000000004,399.0,-5,394.0,1.7439610051820804,0.043961005182080015,0.043961005182080015,2.5859414812988235
1.7000000000000004,399.0,-2,397.0,1.7174406329589356,0.017440632958935165,0.017440632958935165,1.0259195858197152
1.7000000000000004,399.0,-1,398.0,1.7087455813121315,0.008745581312131101,0.008745581312131101,0.5144459595371235
1.7000000000000004,399.0,0,399.0,1.7001215839982453,0.00012158399824491184,0.00012158399824491184,0.007151999896759518
1.7000000000000004,399.0,1,400.0,1.6915677735974293,-0.00843222640257113,0.00843222640257113,0.49601331779830166
1.7000000000000004,399.0,2,401.0,1.6830832967517113,-0.01691670324828909,0.01691670324828909,0.9951001910758286
